frames_z,average_z,average_P_down,average_P_up
0,25.919345203198887,19.129058093836278,-19.907967910608416
1,21.548423616509695,18.870743597545772,-16.85978954266403
2,27.861930478003714,18.76063468310922,-16.53668951643989
3,28.77642315455845,19.57861482442767,-17.627433050964704
4,25.915223989913713,19.396752973482457,-18.812774878762642
5,25.76240455627442,18.62808265582106,-19.020526207437673
6,27.394284520830425,19.171192993719206,-18.81138998048133
7,27.90031212568283,18.827560966535565,-17.381325420278717
8,26.907846338608692,18.96907063541193,-17.578731932890445
9,26.393405075073247,19.574877857290666,-19.308026453296748
10,25.937734711844968,18.747511860770587,-18.41725731232746
11,26.234924577686883,19.509053339795482,-18.708566140468484
12,28.055691160004713,18.61887242283638,-17.012033574788916
13,24.51314855504919,18.3435828668852,-17.61133065289816
14,27.70952618122101,19.545751795437493,-18.065409141378332
15,24.828827128690833,19.022897230125622,-17.353848957823686
16,24.29852807717245,17.90662877024117,-16.9602955214143
17,30.07426508735208,17.37436270455099,-17.636255498744752
18,23.962386055598188,18.533657383432768,-16.8175397630036
19,27.48046083161325,18.525742973247596,-16.36418464205869
20,25.04760531525114,18.567748382812074,-17.74036920147679
21,23.760159015655518,18.341279810838248,-17.367140776466073
22,25.1261472429548,17.39738751784281,-16.448595837253105
23,26.190966452321696,19.70183468763017,-16.432367442881436
24,27.866254806518555,18.686476818667803,-17.798593222509236
25,24.704305013020836,17.9362167746317,-18.158436701292967
26,26.747798273118875,19.17748933852263,-18.676423633185994
27,28.279814286665484,18.977119438412785,-16.058943004513445
28,27.006721357865764,19.02682368699521,-16.84639637548713
29,26.293809012761194,17.674144837773216,-16.67253095490215
30,22.091020888176516,18.299135131472152,-17.329415569366084
31,19.11828536987305,18.676553910211258,-17.625570108480666
32,20.040983761058136,18.54301144763297,-17.166568439061738
33,21.059839279925242,19.096225221280097,-17.174956195586542
34,22.198335011800133,19.369369257460896,-18.11330258635995
35,20.850778841504862,19.531725864464562,-18.02816286092916
36,17.650254535675046,19.05211221391498,-18.92725142188537
37,19.256749343872073,19.028302344285454,-19.26513587511808
38,20.777402877807617,19.995490008703758,-18.207290245068247
39,20.04344727563077,18.675408325295972,-18.554290835243414
40,19.16317870400168,18.9560296752264,-19.218220584623243
41,19.88622368706597,19.30189282817911,-18.061203582854453
42,17.481882413228348,17.918484551267564,-18.619899604247813
43,20.007352888584137,18.194872520265502,-19.081577783617686
44,23.167445162509352,18.76961894470675,-18.265043450721954
45,22.96928427559989,18.588109683327772,-18.69364491405701
46,21.791808446248368,18.420857270109263,-18.287372343429798
47,21.579686913123496,19.47167057446095,-17.803735677737905
48,25.2173552793615,18.232654319320684,-16.83709913133462
49,24.508965997134936,19.07567114428324,-18.35981731000488
50,26.647368916294027,18.026216973884107,-17.675547612536896
51,18.2492974933825,17.412489580275288,-18.54998722282626
52,18.93932077440165,17.60016591481769,-17.80726185377505
53,26.350419810120492,18.06214694614603,-17.711921552958955
54,15.998330896550954,18.329571347447146,-19.317242962286073
55,17.99666695845754,18.50798254937399,-19.54397408648209
56,19.440504300392277,18.207744967409475,-19.208002535274098
57,25.238327471415204,17.999696755951778,-17.792013480323003
58,18.918634241277523,18.18190696678649,-17.537051306364493
59,23.40445940835135,19.1885958677459,-18.656336145795215
60,17.714616702153137,19.236256958804088,-17.736723918022204
61,18.119548543294272,18.36965532723202,-17.77784758272177
62,19.464173237482704,17.904869892654258,-17.97341956404707
63,15.731426239013672,18.50592600182296,-18.72960490655443
64,18.03461485642653,18.262686441219863,-17.793568595146887
65,15.496731097881607,18.204520329940827,-18.107802395137355
66,16.43611060248481,18.020073433813785,-17.852288984268807
67,16.71959320379763,17.813636985862374,-18.777667986492183
68,10.894772096113726,17.532099891276257,-18.35019741225137
69,13.881876786549881,18.64431969426242,-18.748452229736625
70,15.976739717566446,18.431976514562706,-18.824854885084452
71,20.166792959537148,18.73969594629947,-17.316186798880278
72,19.239612579345703,19.231849660732596,-18.282048372380565
73,20.513402686928806,17.867630158166275,-17.593048076376267
74,18.3917022055768,18.81540989886387,-18.206353098967185
75,17.794316609700523,18.309641368722836,-17.894987877845217
76,23.255723525066763,18.47169254038628,-19.307940511180597
77,17.776936131138953,18.383176884110362,-18.33951949966761
78,12.007619343106711,17.465652487556635,-17.426995595058674
79,16.41608420662258,17.33813365048888,-18.36861332148652
80,16.006383368309507,18.10953917977202,-17.98167892362884
81,17.835187417489514,17.416395594197546,-18.872575030595648
82,16.79552389446058,18.17928709062234,-18.86880475186801
83,9.68895226194148,18.29666504924238,-19.755262811675607
84,16.774323203346945,18.61076982288117,-18.448949891264125
85,18.083849295591698,18.01878597088483,-17.30748395139309
86,15.213598251342773,18.547249335808733,-18.51772887766855
87,11.888754844665527,19.143847179194992,-20.052389532129038
88,15.003166198730469,18.799677718790583,-19.122847443091977
89,15.138107036722118,17.400914561246033,-18.729691351630674
90,14.037197036743166,17.65557478936065,-17.29454715250973
91,15.445748349453538,18.078740749931367,-17.83194376071364
92,14.14241049024794,17.331186590315973,-18.3613750059982
93,10.663928644997739,17.322355738143138,-19.18702906064429
94,12.993112845499006,18.11646402370463,-19.27213945440189
95,11.750166511535646,17.936163197462562,-18.937825891537763
96,16.49399475097656,19.333725479474808,-18.844728415220054
97,11.07078402650123,18.555585392171295,-18.899345159926707
98,8.594898386204491,18.75919104617864,-20.551420941951097
99,13.862111311692459,17.971796484271213,-20.1841685646633
100,10.51030414287861,18.963473215485077,-18.61704439748458
101,12.309002685546872,17.623425919267085,-19.211485758058725
102,14.683001391092937,18.031391661769604,-18.225757041361646
103,16.72758944281216,17.878351624693448,-18.117046147519208
104,10.435685400869332,17.671024753579402,-18.751592294947937
105,12.280596237182614,18.61189225141948,-18.38639508840877
106,14.014594281306032,17.521025025238973,-20.516234877293947
107,10.948572921752927,18.85077652522831,-18.560058634039603
108,14.318999290466309,18.951552086565492,-20.042571242049245
109,8.289421961857727,18.106389590302943,-19.572608409816358
110,10.26377588907878,18.559227800446077,-19.423058067247755
111,15.584813577157483,17.96506616304886,-19.956037520853453
112,16.326613216076865,18.684160717332244,-19.27935251542533
113,10.75499699332498,18.695113599866808,-19.706700926998224
114,15.68470685622271,19.291283114871813,-19.439541602048557
115,18.746078491210938,18.473338570237775,-18.66848985711441
116,14.350995483398435,19.734302637888042,-19.85463328667985
117,13.41169781954784,19.226510836012608,-18.750896542346528
118,13.783916099398745,19.03897278574008,-19.6337140449668
119,14.224031481826515,18.05724875830829,-19.718486942327978
120,10.794802474975583,18.320546861992486,-18.81871451164603
121,12.745739064318066,17.63163553005163,-18.380481291897603
122,10.159998268916695,18.414609531849486,-19.228078685709175
123,11.556752395629886,17.746881751306077,-18.835617053236394
124,16.484902849384383,18.93987117643477,-18.711274775475594
125,14.31298165572317,17.759351783837438,-18.597128721533775
126,10.972934196735252,17.861079952610876,-18.786719627639414
127,13.179997092799134,18.577540408404083,-18.69282877414896
128,15.660556581285263,19.401901388374483,-18.86795660157841
129,18.786525394605555,18.581119553334325,-19.46453150671464
130,17.9032089665251,18.46739285176767,-19.24946075752161
131,11.790607163400367,18.92693710732518,-19.053773490226728
132,15.859998861948647,20.2313403295202,-18.10129912545016
133,19.681460869021535,19.411320269707954,-17.427286209678254
134,16.39529680738262,18.028497040921124,-17.346017470500176
135,21.009153893653384,18.93708262042799,-19.382613827928417
136,9.104316711425781,19.001785641749663,-19.00942431445796
137,11.264210851568919,19.890222423749833,-19.175832863998835
138,13.753105821280641,19.35508560606927,-19.517527549374563
139,8.56080205281576,18.087808278666383,-18.547589659728665
140,12.328232634301273,18.893421056826938,-18.84668939943789
141,16.886039972305298,18.773008773277752,-19.768225868206184
142,9.036580752020015,19.169038481572752,-20.653468617046133
143,12.143237207976867,19.624424684824977,-19.67270305192083
144,14.124678834955745,18.425794072208053,-19.354390235122146
145,16.89659568786621,18.469066231493862,-18.911870721554248
146,16.54916769663493,18.75454771675573,-18.716954674921205
147,19.49629734180592,18.15873120020785,-19.174972619025418
148,17.74428737406828,17.985754540105155,-19.230211021759906
149,13.675369827835645,19.094945019202168,-19.491210645816697
150,17.06963327195909,18.577237517599574,-19.187381971875112
151,11.014838987781161,19.29484108716538,-18.915061699481857
152,12.927925757642058,18.483635724658267,-19.380301983913114
153,8.852745474201356,19.336621800027014,-19.178960073667543
154,11.613618810126127,18.061180615492685,-18.696115020534172
155,14.782912722500889,19.107004009625904,-18.824312869520462
156,17.02904571048797,18.53728919312009,-19.840169884532493
157,10.917880433978453,18.247758702216878,-18.883840498911628
158,12.280481792631605,19.184467832538022,-19.230138328575173
159,18.691449040951937,19.722207858679496,-18.85327668291284
160,20.66738183157785,18.625330803696336,-18.904425701810275
161,19.660399398803712,18.95901433322414,-18.883770844622795
162,17.180843999830344,18.537244575748243,-19.187753720734527
163,12.448187810724434,19.948962686618287,-19.31019146696253
164,12.967392133629843,19.075292911115184,-19.365677941923703
165,10.427735814508395,17.869867670299733,-18.79107684254445
166,13.620171498444122,18.37696194628641,-17.722783925031347
167,20.070002555847168,18.65342748531734,-17.806397925522237
168,11.393199081420903,18.14865466264536,-18.927836095371408
169,9.89905858039856,18.49236049504601,-17.404124529902624
170,16.51086524437214,17.593686265151607,-18.215393010866023
171,10.281667629877731,19.02036691180412,-18.956925693182136
172,11.061088007146665,17.937904944914887,-18.787974622826038
173,10.975267109118008,18.053482228037225,-18.86300090413647
174,9.280159550328406,18.225881564133886,-19.08298820808862
175,9.12753524780274,19.1980065716506,-18.21664853727571
176,13.311159500708946,17.866858351657378,-18.118235500694244
177,12.641781943184988,17.27637397461949,-18.241672957149923
178,7.719780900743274,17.771420296656313,-19.21683781460636
179,13.763702675148295,17.87671913550971,-18.740727418637487
180,11.921328926086424,17.8981197438178,-19.152744638630928
181,9.349252414703372,17.737837938188957,-19.421742245405255
182,11.66686346016678,18.266636934712952,-19.494264660991576
183,14.180638510083398,19.1296073674959,-19.445275211152158
184,9.407542119260697,18.298014559396844,-19.331741073532392
185,11.327793509273206,17.530074733896427,-19.029604068435077
186,16.17870337874801,17.45071570376035,-18.800100913270498
187,10.715997441609701,17.370678006489698,-19.817611383240926
188,10.719682118249324,18.11008329022442,-19.50122965014555
189,12.46638009903279,17.863074330038355,-19.61805823043212
190,10.06609296798706,19.14188979011866,-20.351031560151984
191,16.97903867868277,18.42711950367573,-19.766990218457515
192,9.583484534061313,18.59816447027604,-19.33889515258494
193,14.256248235702515,18.81480201197339,-19.013026408190427
194,14.119761239914666,18.866173792008865,-18.616129908454013
195,12.35072299017422,18.10142372955179,-19.508602432333284
196,13.78392088646983,18.71218816020447,-19.20675051087133
197,15.592034226756986,19.55410407571546,-19.63573938885022
198,12.928085002493347,18.134520712004203,-19.096183126414843
199,13.173270152165337,18.920449461089106,-19.083440587774234
200,14.530817226487763,18.164843401825067,-19.603497496438496
201,13.340002025257455,18.621318379673074,-19.249971056240774
202,10.756324300960614,18.014779703668765,-20.47352093655735
203,14.989792029062905,18.661545297949502,-18.442330100901348
204,11.561001815795905,19.43346690623377,-19.5221497176088
205,15.674147048086489,18.83292969678016,-18.88451547153378
206,13.837585514989392,19.749245622834177,-19.04813930684527
207,9.613538662592568,19.465622599471494,-18.52479765966628
208,12.142594514069735,18.861250890951137,-19.018376313990224
209,17.931036455877894,18.43202908586752,-18.793349473281296
210,11.672651251968077,19.065615690274246,-18.8388962689939
211,7.908982101751832,19.15737491379416,-18.30718241112472
212,13.569828550694353,19.365928565807643,-19.00773208373194
213,13.339310547401162,19.187424326853428,-19.2135193486847
214,14.955193959749664,19.808826904432635,-19.02089439115153
215,17.41482379518706,19.68374088943929,-18.295358852392972
216,13.33854361503355,19.755874219446305,-18.60329698448764
217,13.739786313927695,19.089973202634198,-18.994357725882242
218,13.712155092679538,18.183878227308764,-18.974887006600767
219,13.699657045561693,18.477363232984384,-19.413068667926307
220,12.73087705645645,19.056099605861363,-18.66538165062703
221,14.670606902151398,18.68914880315324,-19.585367149090597
222,14.032116449796234,18.371732088538636,-20.463103808264048
223,11.798121134440109,18.1914490158853,-19.39248625073792
224,14.630867419035539,19.549583346533357,-20.654829751788974
225,16.025090067010176,18.697083551272783,-20.69290095455772
226,10.975774468315976,19.61494302511037,-21.055004928132426
227,13.439747524261477,18.797564288260094,-19.597907546467418
228,12.628884739345978,19.170137126963414,-18.57513495955618
229,9.257359630656694,18.773472315740616,-18.86107143181543
230,14.703724360061905,18.81140729496698,-17.7171812703913
231,10.201864468849308,18.494592393446762,-18.92148668309572
232,9.755097632314644,18.7222207231389,-18.31231280141121
233,11.18706939960348,19.084821898354562,-17.884413639628022
234,11.696167398006352,19.380659798435882,-19.5395069088747
235,16.03547121443838,19.466870090644445,-18.397565262509282
236,18.183402099609374,18.683074289604864,-20.02261616482865
237,12.317360284193505,19.19441065869767,-18.633959846123716
238,14.653879048872966,18.357200217470314,-18.375516036037258
239,13.492883649923037,18.807159683229283,-19.107172355534452
240,15.864708545161228,19.378533715409045,-18.845262039015726
241,9.603179238059298,19.638057349123535,-18.668425414363483
242,16.156925103603264,19.552489415060137,-18.04006968533738
243,14.124888780381951,20.142733553931734,-18.96832489846306
244,11.545953205653603,20.143165177268425,-18.658832226193613
245,12.946300224021627,19.670433676179126,-19.849954874611285
246,5.6573498005769665,17.95344876017505,-18.497333730240832
247,10.254483979323808,18.519213610376788,-18.17362178693234
248,12.13418780146418,18.78140706627963,-18.20848497880214
249,11.194039858304535,19.024390955224945,-18.885138860293793
250,17.415834506352745,18.303049815093257,-17.83264579135364
251,13.709667142232256,17.925982983255135,-17.89782649325656
252,12.860612596784321,18.679774906156673,-19.11112852907931
253,13.163448596822803,18.068530773515445,-19.34837659622545
